Year,Month,Station_Code,Station_Name,Latitude,Longitude,NDVI
2016,3,889,현충원,37.50036,126.97652,0.085664816
2016,7,400,강남,37.4982,127.08162,0.20492168
2016,7,401,서초,37.48462,127.02601,0.23735529
2016,7,402,강동,37.55556,127.14498,0.2047878
2016,7,403,송파,37.51151,127.0967,0.11191623
2016,7,404,강서,37.5739,126.82953,0.13765487
2016,7,405,양천,37.52823,126.87937,0.14174625
2016,7,406,도봉,37.66557,127.03042,0.28918687
2016,7,407,노원,37.62186,127.09192,0.22822952
2016,7,408,동대문,37.58463,127.06036,0.16072065
2016,7,409,중랑,37.58551,127.08682,0.09821464
2016,7,410,기상청,37.4933,126.91746,0.13898718
2016,7,411,마포,37.55165,126.92915,0.28681722
2016,7,412,서대문,37.57047,126.94078,0.37419608
2016,7,413,광진,37.53344,127.08601,0.25515303
2016,7,414,성북,37.61134,126.99981,0.15929204
2016,7,415,용산,37.51955,126.97629,0.22046554
2016,7,416,은평,37.64647,126.94273,0.15649115
2016,7,417,금천,37.46551,126.90016,0.16945726
2016,7,418,한강,37.52489,126.93904,0.029050149
2016,7,419,중구,37.55236,126.98736,0.28195667
2016,7,421,성동,37.54721,127.03885,0.1240729
2016,7,422,북악산,37.60344,126.98437,0.18475153
2016,7,423,구로,37.49328,126.82629,0.16418485
2016,7,424,강북,37.63801,127.00981,0.1795905
2016,7,425,남현,37.46347,126.98154,0.27400175
2016,7,509,관악,37.45284,126.95015,0.22694556
2016,7,510,영등포,37.52706,126.90705,0.15153071
2016,7,889,현충원,37.50036,126.97652,0.32792315
2014,5,400,강남,37.4982,127.08162,0.16802369
2014,5,401,서초,37.48462,127.02601,0.19698551
2014,5,402,강동,37.55556,127.14498,0.14862725
2014,5,403,송파,37.51151,127.0967,0.10134926
2014,5,404,강서,37.5739,126.82953,0.15121397
2014,5,405,양천,37.52823,126.87937,0.11110186
2014,5,406,도봉,37.66557,127.03042,0.29658094
2014,5,407,노원,37.62186,127.09192,0.18266791
2014,5,408,동대문,37.58463,127.06036,0.120266825
2014,5,409,중랑,37.58551,127.08682,0.08743511
2014,5,410,기상청,37.4933,126.91746,0.1383551
2014,5,411,마포,37.55165,126.92915,0.23780377
2014,5,412,서대문,37.57047,126.94078,0.23086542
2014,5,413,광진,37.53344,127.08601,0.19152339
2014,5,414,성북,37.61134,126.99981,0.1441625
2014,5,415,용산,37.51955,126.97629,0.17230374
2014,5,416,은평,37.64647,126.94273,0.1300199
2014,5,417,금천,37.46551,126.90016,0.13786207
2014,5,418,한강,37.52489,126.93904,0.036694087
2014,5,419,중구,37.55236,126.98736,0.2662477
2014,5,421,성동,37.54721,127.03885,0.10968334
2014,5,422,북악산,37.60344,126.98437,0.18000135
2014,5,423,구로,37.49328,126.82629,0.14193793
2014,5,424,강북,37.63801,127.00981,0.24699739
2014,5,425,남현,37.46347,126.98154,0.2580162
2014,5,509,관악,37.45284,126.95015,0.24570976
2014,5,510,영등포,37.52706,126.90705,0.13453446
2014,5,889,현충원,37.50036,126.97652,0.24673067
2016,4,400,강남,37.4982,127.08162,0.12177494
2016,4,401,서초,37.48462,127.02601,0.08382366
2016,4,402,강동,37.55556,127.14498,0.092650205
2016,4,403,송파,37.51151,127.0967,0.057278495
2016,4,404,강서,37.5739,126.82953,0.08453204
2016,4,405,양천,37.52823,126.87937,0.078187145
2016,4,406,도봉,37.66557,127.03042,0.08780616
2016,4,407,노원,37.62186,127.09192,0.08955224
2016,4,408,동대문,37.58463,127.06036,0.08081667
2016,4,409,중랑,37.58551,127.08682,0.040467855
2016,4,410,기상청,37.4933,126.91746,0.072632
2016,4,411,마포,37.55165,126.92915,0.10411443
2016,4,412,서대문,37.57047,126.94078,0.12689069
2016,4,413,광진,37.53344,127.08601,0.09230146
2016,4,414,성북,37.61134,126.99981,0.06414163
2016,4,415,용산,37.51955,126.97629,0.062443282
2016,4,416,은평,37.64647,126.94273,0.083106905
2016,4,417,금천,37.46551,126.90016,0.10279863
2016,4,418,한강,37.52489,126.93904,0.035894208
2016,4,419,중구,37.55236,126.98736,0.0481847
2016,4,421,성동,37.54721,127.03885,0.03797468
2016,4,422,북악산,37.60344,126.98437,0.070454106
2016,4,423,구로,37.49328,126.82629,0.06167558
2016,4,424,강북,37.63801,127.00981,0.0960315
2016,4,425,남현,37.46347,126.98154,0.10301572
2016,4,509,관악,37.45284,126.95015,0.08985455
2016,4,510,영등포,37.52706,126.90705,0.09100602
2016,4,889,현충원,37.50036,126.97652,0.09622033
2014,6,400,강남,37.4982,127.08162,0.18383312
2014,6,401,서초,37.48462,127.02601,0.18857661
2014,6,402,강동,37.55556,127.14498,0.12926337
2014,6,403,송파,37.51151,127.0967,0.11020217
2014,6,404,강서,37.5739,126.82953,0.16996807
2014,6,405,양천,37.52823,126.87937,0.12895682
2014,6,406,도봉,37.66557,127.03042,0.3072227
2014,6,407,노원,37.62186,127.09192,0.18586595
2014,6,408,동대문,37.58463,127.06036,0.11680552
2014,6,409,중랑,37.58551,127.08682,0.09287626
2014,6,410,기상청,37.4933,126.91746,0.15776475
2014,6,411,마포,37.55165,126.92915,0.29961503
2014,6,412,서대문,37.57047,126.94078,0.2577258
2014,6,413,광진,37.53344,127.08601,0.19043314
2014,6,414,성북,37.61134,126.99981,0.14250906
2014,6,415,용산,37.51955,126.97629,0.21686837
2014,6,416,은평,37.64647,126.94273,0.14289007
2014,6,417,금천,37.46551,126.90016,0.14144807
2014,6,418,한강,37.52489,126.93904,0.039460447
2014,6,419,중구,37.55236,126.98736,0.30463362
2014,6,421,성동,37.54721,127.03885,0.109915614
2014,6,422,북악산,37.60344,126.98437,0.18748367
2014,6,423,구로,37.49328,126.82629,0.15628116
2014,6,424,강북,37.63801,127.00981,0.2532801
2014,6,425,남현,37.46347,126.98154,0.27912396
2014,6,509,관악,37.45284,126.95015,0.26996464
2014,6,510,영등포,37.52706,126.90705,0.14648145
2014,6,889,현충원,37.50036,126.97652,0.27498856
2016,5,400,강남,37.4982,127.08162,0.19257842
2016,5,401,서초,37.48462,127.02601,0.20269965
2016,5,402,강동,37.55556,127.14498,0.17604607
2016,5,403,송파,37.51151,127.0967,0.09079217
2016,5,404,강서,37.5739,126.82953,0.14138892
2016,5,405,양천,37.52823,126.87937,0.114327066
2016,5,406,도봉,37.66557,127.03042,0.2715506
2016,5,407,노원,37.62186,127.09192,0.20938855
2016,5,408,동대문,37.58463,127.06036,0.14539286
2016,5,409,중랑,37.58551,127.08682,0.07661194
2016,5,410,기상청,37.4933,126.91746,0.16781059
2016,5,411,마포,37.55165,126.92915,0.29007497
2016,5,412,서대문,37.57047,126.94078,0.3047821
2016,5,413,광진,37.53344,127.08601,0.22852252
2016,5,414,성북,37.61134,126.99981,0.13106695
2016,5,415,용산,37.51955,126.97629,0.20166495
2016,5,416,은평,37.64647,126.94273,0.11116196
2016,5,417,금천,37.46551,126.90016,0.14765461
2016,5,418,한강,37.52489,126.93904,0.032348495
2016,5,419,중구,37.55236,126.98736,0.27618757
2016,5,421,성동,37.54721,127.03885,0.09887477
2016,5,422,북악산,37.60344,126.98437,0.16823149
2016,5,423,구로,37.49328,126.82629,0.15490349
2016,5,424,강북,37.63801,127.00981,0.2540672
2016,5,425,남현,37.46347,126.98154,0.25365135
2016,5,509,관악,37.45284,126.95015,0.23609947
2016,5,510,영등포,37.52706,126.90705,0.16187009
2016,5,889,현충원,37.50036,126.97652,0.24458028
2014,10,400,강남,37.4982,127.08162,0.18500897
2014,10,401,서초,37.48462,127.02601,0.212313
2014,10,402,강동,37.55556,127.14498,0.15356715
2014,10,403,송파,37.51151,127.0967,0.09017315
2014,10,404,강서,37.5739,126.82953,0.13757937
2014,10,405,양천,37.52823,126.87937,0.111289605
2014,10,406,도봉,37.66557,127.03042,0.26897526
2014,10,407,노원,37.62186,127.09192,0.2039524
2014,10,408,동대문,37.58463,127.06036,0.13286065
2014,10,409,중랑,37.58551,127.08682,0.098069124
2014,10,410,기상청,37.4933,126.91746,0.12829384
2014,10,411,마포,37.55165,126.92915,0.29368874
2014,10,412,서대문,37.57047,126.94078,0.26833582
2014,10,413,광진,37.53344,127.08601,0.21966773
2014,10,414,성북,37.61134,126.99981,0.11229323
2014,10,415,용산,37.51955,126.97629,0.15866515
2014,10,416,은평,37.64647,126.94273,0.11705471
2014,10,417,금천,37.46551,126.90016,0.13572834
2014,10,418,한강,37.52489,126.93904,0.030731132
2014,10,419,중구,37.55236,126.98736,0.18651564
2014,10,421,성동,37.54721,127.03885,0.09486304
2014,10,422,북악산,37.60344,126.98437,0.14484538
2014,10,423,구로,37.49328,126.82629,0.14957902
2014,10,424,강북,37.63801,127.00981,0.14579515
2014,10,425,남현,37.46347,126.98154,0.24527983
2014,10,509,관악,37.45284,126.95015,0.20145671
2014,10,510,영등포,37.52706,126.90705,0.13945569
2014,10,889,현충원,37.50036,126.97652,0.2564608
2013,6,400,강남,37.4982,127.08162,0.18910693
2013,6,401,서초,37.48462,127.02601,0.19536488
2013,6,402,강동,37.55556,127.14498,0.13243549
2013,6,403,송파,37.51151,127.0967,0.11874823
2013,6,404,강서,37.5739,126.82953,0.14649452
2013,6,405,양천,37.52823,126.87937,0.1136642
2013,6,406,도봉,37.66557,127.03042,0.28207764
2013,6,407,노원,37.62186,127.09192,0.19993421
2013,6,408,동대문,37.58463,127.06036,0.1425771
2013,6,409,중랑,37.58551,127.08682,0.09984141
2013,6,410,기상청,37.4933,126.91746,0.1863354
2013,6,411,마포,37.55165,126.92915,0.31825456
2013,6,412,서대문,37.57047,126.94078,0.32253957
2013,6,413,광진,37.53344,127.08601,0.22103968
2013,6,414,성북,37.61134,126.99981,0.1762316
2013,6,415,용산,37.51955,126.97629,0.20379846
2013,6,416,은평,37.64647,126.94273,0.18128441
2013,6,417,금천,37.46551,126.90016,0.14429413
2013,6,418,한강,37.52489,126.93904,0.04826115
2013,6,419,중구,37.55236,126.98736,0.26251122
2013,6,421,성동,37.54721,127.03885,0.12135176
2013,6,422,북악산,37.60344,126.98437,0.2311396
2013,6,423,구로,37.49328,126.82629,0.18174987
2013,6,424,강북,37.63801,127.00981,0.20938772
2013,6,425,남현,37.46347,126.98154,0.29250833
2013,6,509,관악,37.45284,126.95015,0.17489469
2013,6,510,영등포,37.52706,126.90705,0.15322702
2013,6,889,현충원,37.50036,126.97652,0.28365195
2020,9,400,강남,37.4982,127.08162,0.17338403
2020,9,401,서초,37.48462,127.02601,0.22306737
2020,9,402,강동,37.55556,127.14498,0.124058865
2020,9,403,송파,37.51151,127.0967,0.10933573
2020,9,404,강서,37.5739,126.82953,0.19666642
2020,9,405,양천,37.52823,126.87937,0.117615566
2020,9,406,도봉,37.66557,127.03042,0.2634639
2020,9,407,노원,37.62186,127.09192,0.25173375
2020,9,408,동대문,37.58463,127.06036,0.15157402
2020,9,409,중랑,37.58551,127.08682,0.10873284
2020,9,410,기상청,37.4933,126.91746,0.19904399
2020,9,411,마포,37.55165,126.92915,0.30702347
2020,9,412,서대문,37.57047,126.94078,0.33932158
2020,9,413,광진,37.53344,127.08601,0.25657433
2020,9,414,성북,37.61134,126.99981,0.1264523
2020,9,415,용산,37.51955,126.97629,0.1870405
2020,9,416,은평,37.64647,126.94273,0.1334879
2020,9,417,금천,37.46551,126.90016,0.14840284
2020,9,418,한강,37.52489,126.93904,0.01887624
2020,9,419,중구,37.55236,126.98736,0.24940456
2020,9,421,성동,37.54721,127.03885,0.09402602
2020,9,422,북악산,37.60344,126.98437,0.14076674
2020,9,423,구로,37.49328,126.82629,0.18353643
2020,9,424,강북,37.63801,127.00981,0.1788739
2020,9,425,남현,37.46347,126.98154,0.26525342
2020,9,509,관악,37.45284,126.95015,0.24824403
2020,9,510,영등포,37.52706,126.90705,0.18273258
2020,9,889,현충원,37.50036,126.97652,0.2681981
2017,2,400,강남,37.4982,127.08162,0.099414185
2017,2,401,서초,37.48462,127.02601,0.08930457
2017,2,402,강동,37.55556,127.14498,0.08581787
2017,2,403,송파,37.51151,127.0967,0.04717906
2017,2,404,강서,37.5739,126.82953,0.0823654
2017,2,405,양천,37.52823,126.87937,0.079532266
2017,2,406,도봉,37.66557,127.03042,0.09743062
2017,2,407,노원,37.62186,127.09192,0.083642386
2017,2,408,동대문,37.58463,127.06036,0.046545994
2017,2,409,중랑,37.58551,127.08682,0.030468605
2017,2,410,기상청,37.4933,126.91746,0.07635323
2017,2,411,마포,37.55165,126.92915,0.08079187
2017,2,412,서대문,37.57047,126.94078,0.13784036
2017,2,413,광진,37.53344,127.08601,0.07590392
2017,2,414,성북,37.61134,126.99981,0.054449353
2017,2,415,용산,37.51955,126.97629,0.062183365
2017,2,416,은평,37.64647,126.94273,0.091772266
2017,2,417,금천,37.46551,126.90016,0.091480054
2017,2,418,한강,37.52489,126.93904,0.018678892
2017,2,419,중구,37.55236,126.98736,0.011871058
2017,2,421,성동,37.54721,127.03885,0.014449696
2017,2,422,북악산,37.60344,126.98437,0.049061276
2017,2,423,구로,37.49328,126.82629,0.0640209
2017,2,424,강북,37.63801,127.00981,0.055297706
2017,2,425,남현,37.46347,126.98154,0.12581886
2017,2,509,관악,37.45284,126.95015,0.089428686
2017,2,510,영등포,37.52706,126.90705,0.10351208
2017,2,889,현충원,37.50036,126.97652,0.07692903
2017,3,400,강남,37.4982,127.08162,0.1051773
2017,3,401,서초,37.48462,127.02601,0.088661216
2017,3,402,강동,37.55556,127.14498,0.07095789
2017,3,403,송파,37.51151,127.0967,0.07600349
2017,3,404,강서,37.5739,126.82953,0.0836447
2017,3,405,양천,37.52823,126.87937,0.078638196
2017,3,406,도봉,37.66557,127.03042,0.096816264
2017,3,407,노원,37.62186,127.09192,0.08333921
2017,3,408,동대문,37.58463,127.06036,0.0680476
2017,3,409,중랑,37.58551,127.08682,0.03680744
2017,3,410,기상청,37.4933,126.91746,0.077203795
2017,3,411,마포,37.55165,126.92915,0.09679482
2017,3,412,서대문,37.57047,126.94078,0.13969705
2017,3,413,광진,37.53344,127.08601,0.07464549
2017,3,414,성북,37.61134,126.99981,0.05901592
2017,3,415,용산,37.51955,126.97629,0.0698059
2017,3,416,은평,37.64647,126.94273,0.095370956
2017,3,417,금천,37.46551,126.90016,0.09894679
2017,3,418,한강,37.52489,126.93904,0.026214497
2017,3,419,중구,37.55236,126.98736,0.038215615
2017,3,421,성동,37.54721,127.03885,0.045200102
2017,3,422,북악산,37.60344,126.98437,0.0679555
2017,3,423,구로,37.49328,126.82629,0.06502024
2017,3,424,강북,37.63801,127.00981,0.07069836
2017,3,425,남현,37.46347,126.98154,0.1212664
2017,3,509,관악,37.45284,126.95015,0.07731731
2017,3,510,영등포,37.52706,126.90705,0.094849564
2017,3,889,현충원,37.50036,126.97652,0.07919249
2015,1,400,강남,37.4982,127.08162,0.086251065
2015,1,401,서초,37.48462,127.02601,0.08661757
2015,1,402,강동,37.55556,127.14498,0.064574316
2015,1,403,송파,37.51151,127.0967,0.026117625
2015,1,404,강서,37.5739,126.82953,0.073796794
2015,1,405,양천,37.52823,126.87937,0.034512267
2015,1,406,도봉,37.66557,127.03042,0.10084938
2015,1,407,노원,37.62186,127.09192,0.07262403
2015,1,408,동대문,37.58463,127.06036,0.049790736
2015,1,409,중랑,37.58551,127.08682,0.034591053
2015,1,410,기상청,37.4933,126.91746,0.032118127
2015,1,411,마포,37.55165,126.92915,0.046336267
2015,1,412,서대문,37.57047,126.94078,0.10180661
2015,1,413,광진,37.53344,127.08601,0.08269314
2015,1,414,성북,37.61134,126.99981,0.08151525
2015,1,415,용산,37.51955,126.97629,0.059661463
2015,1,416,은평,37.64647,126.94273,0.09363423
2015,1,417,금천,37.46551,126.90016,0.056107037
2015,1,418,한강,37.52489,126.93904,0.023310317
2015,1,419,중구,37.55236,126.98736,0.008457664
2015,1,421,성동,37.54721,127.03885,0.018181818
2015,1,422,북악산,37.60344,126.98437,0.052713946
2015,1,423,구로,37.49328,126.82629,0.08223345
2015,1,424,강북,37.63801,127.00981,0.04279773
2015,1,425,남현,37.46347,126.98154,0.09776842
2015,1,509,관악,37.45284,126.95015,0.07744033
2015,1,510,영등포,37.52706,126.90705,0.08175846
2015,1,889,현충원,37.50036,126.97652,0.08027831
2018,11,400,강남,37.4982,127.08162,0.15926938
2018,11,401,서초,37.48462,127.02601,0.17868212
2018,11,402,강동,37.55556,127.14498,0.1133758
2018,11,403,송파,37.51151,127.0967,0.065865405
2018,11,404,강서,37.5739,126.82953,0.16887154
2018,11,405,양천,37.52823,126.87937,0.11595585
2018,11,406,도봉,37.66557,127.03042,0.23407227
2018,11,407,노원,37.62186,127.09192,0.14820293
2018,11,408,동대문,37.58463,127.06036,0.12216027
2018,11,409,중랑,37.58551,127.08682,0.085557714
2018,11,410,기상청,37.4933,126.91746,0.12444254
2018,11,411,마포,37.55165,126.92915,0.2296346
2018,11,412,서대문,37.57047,126.94078,0.23471417
2018,11,413,광진,37.53344,127.08601,0.20201677
2018,11,414,성북,37.61134,126.99981,0.09883258
2018,11,415,용산,37.51955,126.97629,0.14467978
2018,11,416,은평,37.64647,126.94273,0.11797928
2018,11,417,금천,37.46551,126.90016,0.13424559
2018,11,418,한강,37.52489,126.93904,0.029530201
2018,11,419,중구,37.55236,126.98736,0.08192807
2018,11,421,성동,37.54721,127.03885,0.049395543
2018,11,422,북악산,37.60344,126.98437,0.122853935
