Year,Month,Station_Code,Station_Name,Latitude,Longitude,LST
2020,4,889,현충원,37.50036,126.97652,28.97466318878935
2021,12,400,강남,37.4982,127.08162,1.2963043512394279
2021,12,401,서초,37.48462,127.02601,-0.3962696025524224
2021,12,402,강동,37.55556,127.14498,2.4789470093434147
2021,12,403,송파,37.51151,127.0967,-1.3869404378476702
2021,12,404,강서,37.5739,126.82953,0.7065429568602895
2021,12,405,양천,37.52823,126.87937,-0.24303418476074512
2021,12,406,도봉,37.66557,127.03042,-3.0700522409554765
2021,12,407,노원,37.62186,127.09192,-0.6022281098144049
2021,12,408,동대문,37.58463,127.06036,-1.8529747109545838
2021,12,409,중랑,37.58551,127.08682,-2.0875082780853518
2021,12,410,기상청,37.4933,126.91746,-1.636955892033484
2021,12,411,마포,37.55165,126.92915,-2.678146865593476
2021,12,412,서대문,37.57047,126.94078,-3.554996811506385
2021,12,413,광진,37.53344,127.08601,-1.6276981167329154
2021,12,414,성북,37.61134,126.99981,-1.3952249030414237
2021,12,415,용산,37.51955,126.97629,-1.8318447617551783
2021,12,416,은평,37.64647,126.94273,-1.5095221776177823
2021,12,417,금천,37.46551,126.90016,-1.9069522563302712
2021,12,418,한강,37.52489,126.93904,1.3302026493827839
2021,12,419,중구,37.55236,126.98736,-5.81397375254295
2021,12,421,성동,37.54721,127.03885,-1.8588462889034645
2021,12,422,북악산,37.60344,126.98437,-4.693976554645076
2021,12,423,구로,37.49328,126.82629,0.4790934502665323
2021,12,424,강북,37.63801,127.00981,-3.744220636772866
2021,12,425,남현,37.46347,126.98154,-0.8030137876403387
2021,12,509,관악,37.45284,126.95015,-3.4779458299308885
2021,12,510,영등포,37.52706,126.90705,-1.109899832827125
2021,12,889,현충원,37.50036,126.97652,-1.1103810415091857
2021,10,400,강남,37.4982,127.08162,22.261699226234498
2021,10,401,서초,37.48462,127.02601,20.860217302610636
2021,10,402,강동,37.55556,127.14498,19.082768930047052
2021,10,403,송파,37.51151,127.0967,23.926070450535974
2021,10,404,강서,37.5739,126.82953,22.51771710046961
2021,10,405,양천,37.52823,126.87937,24.007775487811273
2021,10,406,도봉,37.66557,127.03042,18.699953983135117
2021,10,407,노원,37.62186,127.09192,20.89661471018212
2021,10,408,동대문,37.58463,127.06036,19.734368716716062
2021,10,409,중랑,37.58551,127.08682,22.134402498783743
2021,10,410,기상청,37.4933,126.91746,20.30879948416174
2021,10,411,마포,37.55165,126.92915,19.799121736764903
2021,10,412,서대문,37.57047,126.94078,17.99948382533279
2021,10,413,광진,37.53344,127.08601,21.099941545598995
2021,10,414,성북,37.61134,126.99981,21.130168737767633
2021,10,415,용산,37.51955,126.97629,21.171482855004683
2021,10,416,은평,37.64647,126.94273,20.757271528955982
2021,10,417,금천,37.46551,126.90016,22.23426270507275
2021,10,418,한강,37.52489,126.93904,21.756135944635446
2021,10,419,중구,37.55236,126.98736,16.14738471784017
2021,10,421,성동,37.54721,127.03885,19.815382330097748
2021,10,422,북악산,37.60344,126.98437,17.92205420082348
2021,10,423,구로,37.49328,126.82629,24.109929402772764
2021,10,424,강북,37.63801,127.00981,19.04865305338501
2021,10,425,남현,37.46347,126.98154,20.395528915917055
2021,10,509,관악,37.45284,126.95015,17.574050821222897
2021,10,510,영등포,37.52706,126.90705,22.382908240282234
2021,10,889,현충원,37.50036,126.97652,20.056553113645748
2017,11,400,강남,37.4982,127.08162,15.771400161262306
2017,11,401,서초,37.48462,127.02601,16.260326002808426
2017,11,402,강동,37.55556,127.14498,14.984313383569884
2017,11,403,송파,37.51151,127.0967,16.77657036911495
2017,11,404,강서,37.5739,126.82953,16.258441797382943
2017,11,405,양천,37.52823,126.87937,16.22936609931793
2017,11,406,도봉,37.66557,127.03042,13.360800278070826
2017,11,407,노원,37.62186,127.09192,12.89283479503797
2017,11,408,동대문,37.58463,127.06036,14.14550663251373
2017,11,409,중랑,37.58551,127.08682,14.074136787244697
2017,11,410,기상청,37.4933,126.91746,13.968228806711295
2017,11,411,마포,37.55165,126.92915,13.594577403524113
2017,11,412,서대문,37.57047,126.94078,12.338999348876996
2017,11,413,광진,37.53344,127.08601,14.239128709421493
2017,11,414,성북,37.61134,126.99981,14.152193206782897
2017,11,415,용산,37.51955,126.97629,14.169885434456035
2017,11,416,은평,37.64647,126.94273,12.671598283576543
2017,11,417,금천,37.46551,126.90016,15.4743736077927
2017,11,418,한강,37.52489,126.93904,15.08988980298335
2017,11,419,중구,37.55236,126.98736,10.225791442692127
2017,11,421,성동,37.54721,127.03885,13.478488817100015
2017,11,422,북악산,37.60344,126.98437,11.016508481311007
2017,11,423,구로,37.49328,126.82629,16.817236781155202
2017,11,424,강북,37.63801,127.00981,13.307064269581076
2017,11,425,남현,37.46347,126.98154,15.035238613845934
2017,11,509,관악,37.45284,126.95015,12.88206769855941
2017,11,510,영등포,37.52706,126.90705,14.924352381059066
2017,11,889,현충원,37.50036,126.97652,14.095164146098
2013,9,400,강남,37.4982,127.08162,34.3707250339728
2013,9,401,서초,37.48462,127.02601,34.682938625118084
2013,9,402,강동,37.55556,127.14498,37.94897084857439
2013,9,403,송파,37.51151,127.0967,41.26873586952121
2013,9,404,강서,37.5739,126.82953,36.10687119949819
2013,9,405,양천,37.52823,126.87937,38.11292835904601
2013,9,406,도봉,37.66557,127.03042,32.700548283608555
2013,9,407,노원,37.62186,127.09192,35.11551617034104
2013,9,408,동대문,37.58463,127.06036,35.16642538791382
2013,9,409,중랑,37.58551,127.08682,38.484182716496264
2013,9,410,기상청,37.4933,126.91746,32.6785939857412
2013,9,411,마포,37.55165,126.92915,30.869315094722822
2013,9,412,서대문,37.57047,126.94078,28.761172997812423
2013,9,413,광진,37.53344,127.08601,34.72384349415614
2013,9,414,성북,37.61134,126.99981,34.91389943220935
2013,9,415,용산,37.51955,126.97629,36.04830015734609
